Character / Team,Year Debuted,Company,Creator/s,First Appearance
Grottu,1960 (February),Marvel,"Jack Kirby, Bill Everett",Strange Tales #73
Starro,1960 (February),DC,Gardner Fox,The Brave and the Bold (vol. 1) #28
Amazo,1960 (June),DC,Gardner Fox,The Brave and the Bold (vol. 1) #30
Professor Ivo,1960 (June),DC,"Gardner Fox, Mike Sekowsky",The Brave and the Bold (vol. 1) #30
Trickster,1960 (June),DC,"John Broome, Carmine Infantino",The Flash (vol. 1) #113
Clock King,1960 (August),DC,"France Herron, Lee Elias",World's Finest Comics #111
Kryptonite Man,1960 (September),DC,,Superboy (vol. 1) #83
Despero,1960 (October),DC,"Gardner Fox, Mike Sekowsky",Justice League of America (vol. 1) #1
Gorgilla,1960 (October),Marvel,"Stan Lee, Jack Kirby",Tales To Astonish #12
Xemnu,1960 (November),Marvel,"Stan Lee, Jack Kirby",Journey into Mystery #62
Captain Boomerang,1960 (December),DC,"John Broome, Carmine Infantino",The Flash (vol. 1) #117
Elektro,1961 (January),Marvel,"Stan Lee, Jack Kirby",Tales of Suspense #13
Byth,1961 (February),DC,"Gardner Fox, Joe Kubert",The Brave and the Bold vol. 1 #34
Hyathis,1961 (February),DC,Gardner Fox,Justice League of America vol. 1 #3
Kanjar Ro,1961 (February),DC,Gardner Fox,Justice League of America vol. 1 #3
Hector Hammond,1961 (March),DC,"Gil Kane, John Broome",Green Lantern vol. 2 #5
Goom,1961 (March),Marvel,"Stan Lee, Dick Ayers, Jack Kirby",Tales of Suspense #15
Matter Master,1961 (April),DC,"Gardner Fox, Joe Kubert",The Brave and the Bold (vol. 1) #35
General Zod,1961 (April),DC,"Robert Bernstein, George Papp",Adventure Comics (vol. 1) #283
"Googam, Son of Goom",1961 (May),Marvel,"Stan Lee, Steve Ditko",Tales of Suspense #17
Spragg,1961 (May),Marvel,"attributed to Stan Lee, Jack Kirby",Journey into Mystery #68
Doctor Destiny,1961 (June),DC,,Justice League of America vol. 1 #5
Shadow Thief,1961 (June),DC,"Gardner Fox, Joe Kubert",The Brave and the Bold vol. 1 #36
Amos Fortune,1961 (August),DC,Gardner Fox,Justice League of America vol. 1 #6
Legion of Super-Villains,1961 (August),DC,"Jerry Siegel, Curt Swan",Superman vol. 1 #147
Sinestro,1961 (August),DC,"John Broome, Gil Kane",Green Lantern (vol. 2) #7
The Top,1961 (August),DC,"John Broome, Carmine Infantino",The Flash (comic book) vol. 1 #122
Fin Fang Foom,1961 (October),Marvel,"Stan Lee, Jack Kirby",Strange Tales #89
Jax-Ur,1961 (October),DC,,Adventure Comics #289
Mole Man,1961 (November),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #1
The Skrulls,1962 (January),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #2
Polka-Dot Man,1962 (February),DC,"Bill Finger, Sheldon Moldoff",Detective Comics #300
Tim Boo Ba,1962 (February),Marvel,"Stan Lee, Steve Ditko",Amazing Adult Fantasy #9
Felix Faust,1962 (March),DC,"Gardner Fox, Mike Sekowsky",Justice League of America (vol. 1) #10
Miracle Man,1962 (March),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #3
Gargoyle,1962 (May),Marvel,"Stan Lee, Jack Kirby",Incredible Hulk vol. 1 #1
Dr. Light (Arthur Light),1962 (June),DC,"Gardner Fox, Mike Sekowsky",Justice League of America (vol. 1) #12
Floronic Man,1962 (June),DC,"Gardner Fox, Gil Kane",Atom #1
Doctor Doom,1962 (July),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #5
Yancy Street Gang,1962 (September),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #6
Destroyer,1962 (October),Marvel,"Stan Lee, Jack Kirby",Strange Tales #101
"Kurrgo, Master of Planet X",1962 (October),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #7
Loki,1962 (October),Marvel,"Stan Lee, Larry Lieber",Journey into Mystery #85
Ringmaster,1962 (October),Marvel,"Stan Lee, Steve Ditko",The Incredible Hulk #3
The Puppet Master,1962 (November),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #8
The Wingless Wizard,1962 (November),Marvel,"Stan Lee, Jack Kirby",Strange Tales #102
Warlord Zemu,1962 (December),Marvel,"Stan Lee, Jack Kirby",Strange Tales #103
Egghead,1962 (December),Marvel,"Stan Lee, Jack Kirby",Tales to Astonish #38
Abra Kadabra,1962,DC,"John Broome, Carmine Infantino",The Flash vol. 1 #128
Chronos,1962,DC,"Gardner Fox, Gil Kane",The Atom #3
Doctor Polaris,1962,DC,,Green Lantern vol. 2 #21
Qwsp,1962,DC,,Aquaman vol. 1 #1
Sonar,1962,DC,"John Broome, Gil Kane",Green Lantern vol. 2 #14
Star Sapphire,1962,DC,"John Broome, Gil Kane",As Carol Ferris: Showcase #22; as Star Sapphire: Green Lantern vol. 2 #16
Paste-Pot Pete,1963 (January),Marvel,"Stan Lee, Jack Kirby",Strange Tales #104
Impossible Man,1963 (February),Marvel,"Stan Lee, Jack Kirby",Fantastic Four vol. 1 #11
Acrobat,1963 (March),Marvel,"Stan Lee, Jack Kirby",Strange Tales #106
