Character / Team,Year Debuted,Company,Creator/s,First Appearance
Agatha Harkness,1970 (January),Marvel,"Stan Lee, Jack Kirby",Fantastic Four #94
Arkon,1970 (April),Marvel,"Roy Thomas, John Buscema",Avengers #75
Man-Bat,1970 (June),DC,"Frank Robbins, Neal Adams",Detective Comics (vol. 1) #400
Lethal Legion,1970 (July),Marvel,"Roy Thomas, John Buscema, Tom Palmer",Avengers #78
Intergang (Morgan Edge),1970 (October),DC,Jack Kirby,Superman's Pal Jimmy Olsen #133
Darkseid,1970 (November),DC,Jack Kirby,Superman's Pal Jimmy Olsen #134
Orka,1970,Marvel,"Roy Thomas, Marie Severin",Sub-Mariner #23
Aries,1970; 1974; 1977; 1984; 1987; 1998,Marvel,"Roy Thomas, Sal Buscema; Steve Englehart, Bob Brown; David Anthony Kraft, Keith Giffen; Dennis O'Neil, Luke McDonnell; Steve Englehart, Al Milgrom; Steve Seagle, Duncan Rouleau",The Avengers #72; The Avengers #120; The Defenders #49; Iron Man #184; West Coast Avengers Vol.2 #26; Alpha Flight Vol.2 #12
Appa Ali Apsa,1970,DC,"Dennis O'Neil, Neal Adams","Green Lantern Series 2, #76"
Llyra,1970,Marvel,"Roy Thomas, Sal Buscema",Sub-Mariner #32
Ten-Eyed Man,1970,DC,"Frank Robbins, Irv Novick, Dick Giordano",Batman #226
Kanto,1971,DC,Jack Kirby,Mister Miracle #1
Kalibak,1971,DC,Jack Kirby,New Gods #1
Parademons,1971,DC,Jack Kirby,New Gods #1
"Bruno ""Ugly"" Mannheim",1971,DC,Jack Kirby,Superman's Pal Jimmy Olsen #139
Deep Six,1971,DC,Jack Kirby,New Gods #2
Doctor Bedlam,1971,DC,Jack Kirby,Mister Miracle #2
Granny Goodness,1971,DC,Jack Kirby,Mister Miracle #2
Desaad,1971 (May),DC,Jack Kirby,Forever People (vol. 1) #2
Mantis,1971 (May),DC,Jack Kirby,Forever People (vol. 1) #2
Glorious Godfrey,1971,DC,Jack Kirby,Forever People #3
Talia al Ghul,1971 (May),DC,Denny O'Neil,Detective Comics (vol. 1) #411
Ra's al Ghul,1971 (June),DC,"Dennis O'Neil, Neal Adams",Batman (vol. 1) #232
Overmind,1971 (August),Marvel,"Stan Lee, John Buscema",Fantastic Four #113
Merlyn,1971 (November),DC,"Mike Friedrich, Neal Adams, Dick Dillin",Justice League of America #94
Virman Vundabar,1971,DC,Jack Kirby,Mister Miracle #5
Ballox the Monstroid,1972,Marvel,"Gerry Conway, Gil Kane",Marvel Team-Up #5
Heggra,1972,DC,Jack Kirby,New Gods #7
"Female Furies (Bernadeth, Lashina, Mad Harriet, Stompa)",1972,DC,Jack Kirby,Mister Miracle #6
Kulan Gath,1972,Marvel,"Roy Thomas, Barry Windsor-Smith, Michael Moorcock, James Cawthorn",Conan the Barbarian #14-15
Effron the Sorcerer,1972,DC,Elliot S! Maggin,World's Finest Comics #210
Gilotina,1972,DC,Jack Kirby,Mister Miracle #8
Terra-Man,1972,DC,,Superman #249
Devilance,1972,DC,Jack Kirby,Forever People #11
Grand Director,1972,Marvel,"Captain America: Steve Englehart, Sal Buscema; Grand Director: Roger McKenzie, Jim Shooter, Sal Buscema",Captain America #153
Griffin (Marvel Comics),1972,DC,"Steve Englehart, Tom Sutton",Amazing Adventures #15
Doctor Moon,1972,DC,,Batman #240
Basilisk,1973,Marvel,"Len Wein, Gil Kane",Marvel Team-Up #16
Mandrill,1973,Marvel,"Carole Seuling, Ross Andru",Shanna the She-Devil #4
The Man-Killer,1973,Marvel,"Gerry Conway, Jim Mooney",Marvel Team-Up #8
Moondark,1973,Marvel,"Gerry Conway, Len Wein, Ross Andru",Marvel Team-Up #12
Nekra,1973,Marvel,"Steve Gerber, Ross Andru",Shanna the She-Devil #5
The Orb,1973,Marvel,"Len Wein, Ross Andru",Marvel Team-Up #15
Thanos,1973,Marvel,Jim Starlin,Iron Man #55
They Who Wield Power,1973,Marvel,"Len Wein, Ross Andru",Marvel Team-Up #15
Angar the Screamer,1973,Marvel,"Steve Gerber, Gene Colan, John Tartaglione",Daredevil #100
"Stegron, the Dinosaur Man",1974,Marvel,"Len Wein, Gil Kane",Marvel Team-Up #19
Punisher,1974,Marvel,"Gerry Conway, Ross Andru, John Romita, Sr.",The Amazing Spider-Man #129
Midnight Sun,1974,Marvel,"Steve Englehart, Jim Starlin, Al Milgrom",Special Marvel Edition #16
Black Talon,1974,Marvel,"Gene Colan, Len Wein",Strange Tales #173
Anthony Lupus,1974,DC,,Batman #255
Allatou,1974,Marvel,"Steve Gerber, Gene Colan",Marvel Spotlight #18
Tarantula,1974,Marvel,"Ross Andru, Gerry Conway",The Amazing Spider-Man #134
Wrecking Crew,1974 (November),Marvel,"Len Wein, Sal Buscema","The Defenders vol. 1, #17"
Legion of the Unliving,1975,Marvel,,Avengers #131
Korvac,1975,Marvel,"Steve Gerber, Jim Starlin",Giant-Size Defenders #3
Moses Magnum,1975,Marvel,"Gerry Conway, Stan Lee, Ross Andru, Steve Ditko",Giant-Size Spider-Man 4
Magus (Adam Warlock),1975,Marvel,Jim Starlin,Strange Tales (Vol.2) #178
Manhunters,1975,DC,Jack Kirby,1st Issue Special #5 (Aug. 1975)
Chthon,1975,Marvel,"Marv Wolfman, Bill Mantlo, Yong Mountaino",Marvel Chillers #1
Moonstone,1975,Marvel,"Marv Wolfman, Frank Robbins",Captain America #192
Bullseye,1976 (March),Marvel,"Marv Wolfman, John Romita Sr.",Daredevil #131
Blackrock,1976,DC,,Action Comics #458
100,1976,DC,"100: Robert Kanigher (writer), Ross Andru (artist); 1000: Dan Jurgens",100: Lois Lane #105; 1000: Booster Gold #2
O.G.R.E.,1976,DC,"Bob Haney, Nick Cardy",Aquaman #301
Baron Blood,1976,Marvel,"Roy Thomas, Frank Robbins, Vince Colletta",Invaders #7
SKULL,1976,DC,"Gerry Conway, Curt Swan",Superman #301
Atomic Skull,1976,DC,"Gerry Conway, Curt Swan",Superman #303
Black Spider,#1: 1976; #2: 1995,DC,#1: Gerry Conway,#1: Detective Comics #463; #2: Batman #518
Duela Dent,1976,DC,Bob Rozakis,Batman Family #6
Doctor Phosphorus,1977,DC,Steve Englehart,Detective Comics #469
Rupert Thorne,1977,DC,"Steve Englehart, Walter Simonson",Detective Comics #469
Graviton,1977,Marvel,"Jim Shooter, Sal Buscema",Avengers #158
Hulk Robot,1977,Marvel,,Eternals #14
Deathbird,1977,Marvel,"Chris Claremont, Keith Pollard",Ms. Marvel #9
Aqueduct,1977,Marvel,"Jim Shooter, Don Heck",Ghost Rider #23
Faora,1977,DC,,Action Comics #471
Golden Glider,1977,DC,"Cary Bates, Irv Novick",Flash #250
Constrictor,1977,Marvel,"Writers: Len Wein, Sal Buscema; Artists: Ernie Chan, Glynis Wein",Incredible Hulk #212
Baron Blitzkrieg,1977,DC,,World's Finest Comics #246
Sabretooth,1977,Marvel,"Chris Claremont, John Byrne",Iron Fist #14
Resistants,1977,Marvel,Jack Kirby,Captain America Annual #4
Doctor Demonicus,1977,Marvel,"Doug Moench, Tom Sutton",Godzilla #4
Killer Frost,1978 (June),DC,"Gerry Conway, Al Migrom","Steel, The Indestructible Man #1"
Mystique,1978,Marvel,"Chris Claremont, Dave Cockrum",Ms. Marvel #16
Blackout,1978,Marvel,"Marv Wolfman, Carmine Infantino, Tom Palmer",Nova #19
Count Vertigo,1978,DC,"Bob Haney, Vince Colletta, George Tuska",World's Finest Comics #251
Fadeaway Man,1978,DC,"Len Wein, Rich Buckler",Detective Comics #479
Blue Streak,1978,Marvel,"Roy Thomas, John Buscema",Captain America v1 #217
Needle,1978,Marvel,"Mark Gruenwald, Carmine Infantino, Al Gordon",Spider-Woman #9
Maxie Zeus,1979,DC,,Detective Comics #483
Crossfire,1979,Marvel,"Steven Grant, Jim Craig",Marvel Two-in-One #52
Letha,1979,Marvel,"Mark Gruenwald, Ralph Macchio, John Byrne",Marvel Two-in-One #54
Poundcakes,1979,Marvel,"Mark Gruenwald, Ralph Macchio, John Byrne",Marvel Two-in-One #54
Screaming Mimi,1979 (August),Marvel,"Mark Gruenwald, Ralph Macchio, John Byrne",Marvel Two-in-One #54
Zaran,1979,Marvel,Mike Zeck,Master of Kung Fu #77
Firebug,1979,DC,,Batman #318
